,tau-testis,gini-testis,RNA tissue specificity,RNA tissue distribution
ENSG00000166118,0.9997197702115735,0.9827866630523179,Tissue enriched,Detected in single
ENSG00000185448,1.0,0.9838709677419355,Tissue enriched,Detected in single
ENSG00000184507,0.9994971336618728,0.9805427547363033,Tissue enriched,Detected in single
ENSG00000165076,0.9995388034044694,0.9810624297865511,Tissue enriched,Detected in single
ENSG00000183629,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000068985,0.9998198522788688,0.9833450210378678,Tissue enriched,Detected in single
ENSG00000174450,0.9997806897307968,0.9831257319280315,Tissue enriched,Detected in single
ENSG00000175646,0.9998354732775696,0.9833111099714515,Tissue enriched,Detected in some
ENSG00000204688,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000129864,0.9998730158730159,0.9801447392837261,Tissue enriched,Detected in single
ENSG00000259060,0.9854877721042731,0.9687237026647968,Group enriched,Detected in some
ENSG00000138813,0.9998968965872771,0.9836693548387099,Tissue enriched,Detected in single
ENSG00000204669,0.99984337475201,0.9834639259183882,Tissue enriched,Detected in single
ENSG00000182459,0.9995166552543602,0.9810224035722532,Tissue enriched,Detected in single
ENSG00000129862,0.9998921484037965,0.9836601307189545,Tissue enriched,Detected in single
ENSG00000215131,0.9997641231277273,0.9830702356440175,Tissue enriched,Detected in single
ENSG00000204279,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000170777,0.9998628801267597,0.9836033893265941,Tissue enriched,Detected in single
ENSG00000187516,0.999826217922725,0.9834198060004513,Tissue enriched,Detected in single
ENSG00000151005,0.9996809659369785,0.9825920136421766,Tissue enriched,Detected in single
ENSG00000177558,0.9993559718969556,0.9798802793481873,Tissue enriched,Detected in single
ENSG00000171495,0.9997173544375353,0.9829825041006017,Tissue enriched,Detected in single
ENSG00000177504,0.9997209302325581,0.9796726029861489,Tissue enriched,Detected in single
ENSG00000219435,0.9986250661025908,0.9552184673152417,Tissue enriched,Detected in some
ENSG00000258992,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000143006,0.9997061354715476,0.9824102251978089,Tissue enriched,Detected in single
ENSG00000168757,0.9998518518518519,0.9801038062283738,Tissue enriched,Detected in single
ENSG00000285472,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000180043,0.999720111955218,0.9825558907712537,Tissue enriched,Detected in single
ENSG00000204849,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000118245,0.9998027150171448,0.9832133854528187,Tissue enriched,Detected in some
ENSG00000268629,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000266826,0.9991478956727919,0.9746048289039431,Tissue enriched,Detected in single
ENSG00000123576,0.9998063766619337,0.9833688966988832,Tissue enriched,Detected in single
ENSG00000122304,0.9997890765066381,0.9830787442802831,Tissue enriched,Detected in some
ENSG00000118434,0.9998000799680128,0.9833527659023189,Tissue enriched,Detected in single
ENSG00000186788,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000168619,0.9997696471762584,0.9832749757878267,Tissue enriched,Detected in single
ENSG00000176679,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000277630,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000166152,0.9998392799742849,0.9835577826495456,Tissue enriched,Detected in single
ENSG00000203795,0.9998431249509766,0.9835652040972331,Tissue enriched,Detected in single
ENSG00000103023,0.9994395404231471,0.9811161468052965,Tissue enriched,Detected in single
ENSG00000042813,0.9991114173799508,0.9754087262634126,Tissue enriched,Detected in single
ENSG00000160994,0.9994493158808829,0.9806451612903226,Tissue enriched,Detected in single
ENSG00000171804,0.9992887142663598,0.9784413925263491,Tissue enriched,Detected in single
ENSG00000205359,0.9996236199397793,0.9825838629233365,Tissue enriched,Detected in single
ENSG00000214681,0.9998408403628841,0.9835607940446649,Tissue enriched,Detected in single
ENSG00000196475,0.9997043805428649,0.9829878967326371,Tissue enriched,Detected in single
ENSG00000188386,0.9997197702115735,0.9830964643922084,Tissue enriched,Detected in single
ENSG00000125975,0.9995945084863581,0.9824249165739711,Tissue enriched,Detected in single
ENSG00000158553,0.9997237060232088,0.9831580823382644,Tissue enriched,Detected in single
ENSG00000187969,0.9998198522788688,0.9835203366058907,Tissue enriched,Detected in single
ENSG00000100312,0.9979334700738709,0.9177109440267335,Tissue enriched,Detected in some
ENSG00000176988,0.9996980155306299,0.9829540718512964,Tissue enriched,Detected in single
ENSG00000176746,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000181786,0.9997795839647335,0.983389504092441,Tissue enriched,Detected in single
ENSG00000206531,0.9946964856230033,0.9710833828480885,Group enriched,Detected in some
ENSG00000204979,1.0,0.9838709677419355,Tissue enriched,Detected in single
ENSG00000258223,0.9993972999035681,0.9806680393502631,Tissue enriched,Detected in single
ENSG00000188800,0.9998024886430971,0.9834442737668545,Tissue enriched,Detected in single
ENSG00000155890,0.9998102610807529,0.9835018823355726,Tissue enriched,Detected in single
ENSG00000151033,0.9998082638289714,0.9834980421405928,Tissue enriched,Detected in single
ENSG00000123165,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000132631,0.9998387530233809,0.9835567658148301,Tissue enriched,Detected in single
ENSG00000162592,0.9993848614400395,0.980545995450038,Tissue enriched,Detected in single
ENSG00000137090,0.9997397866250326,0.9832229262672811,Tissue enriched,Detected in single
ENSG00000275969,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000178804,0.9998148148148148,0.9800323799244473,Tissue enriched,Detected in single
ENSG00000237524,0.9995526156009331,0.9819734345351043,Tissue enriched,Detected in single
ENSG00000204300,0.999816833043319,0.9835145250401001,Tissue enriched,Detected in single
ENSG00000186150,0.999171541184445,0.97738173610458,Tissue enriched,Detected in single
ENSG00000204363,0.9996202531645569,0.9794178540981611,Tissue enriched,Detected in single
ENSG00000189357,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000125207,0.9992905761671942,0.9768190365977141,Tissue enriched,Detected in some
ENSG00000233917,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000121634,0.9995446265938069,0.9823016564952047,Tissue enriched,Detected in single
ENSG00000250741,0.9995685936151856,0.9821530826493607,Tissue enriched,Detected in single
ENSG00000177938,0.9992714025500912,0.9791123312743082,Tissue enriched,Detected in single
ENSG00000151962,0.9993347588500833,0.9791086350974934,Tissue enriched,Detected in single
ENSG00000283439,0.9996693121693121,0.9815789473684211,Tissue enriched,Detected in single
ENSG00000172352,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000187581,0.9987614844172219,0.9714703580109585,Tissue enriched,Detected in some
ENSG00000230031,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000178645,0.9985478249645026,0.9667211106574112,Tissue enriched,Detected in single
ENSG00000170613,0.9996887321020961,0.9830695251452615,Tissue enriched,Detected in single
ENSG00000242389,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000261587,0.9992368742368741,0.9791007573578752,Tissue enriched,Detected in single
ENSG00000183035,0.9997984412792261,0.9834791693874887,Tissue enriched,Detected in single
ENSG00000171989,0.9988993801772577,0.9707327494125191,Tissue enriched,Detected in single
ENSG00000268606,0.999747219413549,0.9767839687194528,Tissue enriched,Detected in single
ENSG00000140623,0.9995236374388122,0.9815780381317332,Tissue enriched,Detected in some
ENSG00000181323,0.9997616462300379,0.9833573042942265,Tissue enriched,Detected in single
ENSG00000274391,0.9974554707379134,0.9429531512522957,Tissue enriched,Detected in some
ENSG00000226929,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000175718,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000165120,0.9994828566995915,0.9816020518891189,Tissue enriched,Detected in single
ENSG00000183434,0.9998147633601927,0.9835105424400792,Tissue enriched,Detected in single
ENSG00000197651,0.9996798155737705,0.9830676059819552,Tissue enriched,Detected in single
ENSG00000148602,0.9915260948760591,0.9715430449969178,Group enriched,Detected in some
ENSG00000186143,0.999776791250217,0.9834376504573903,Tissue enriched,Detected in single
ENSG00000184647,0.9992928318868531,0.9797477564879942,Tissue enriched,Detected in single
ENSG00000227059,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000228075,0.9997264996933483,0.9832774578527774,Tissue enriched,Detected in some
ENSG00000173728,0.9993221700600006,0.9808823529411763,Tissue enriched,Detected in single
ENSG00000125815,0.9996906897618312,0.9830744723217844,Tissue enriched,Detected in single
ENSG00000273111,0.9988570241064006,0.9754934210526314,Tissue enriched,Detected in some
ENSG00000203784,0.9996885913205954,0.9830763283364115,Tissue enriched,Detected in some
ENSG00000169800,0.9997499999999999,0.9799080125877513,Tissue enriched,Detected in single
ENSG00000250719,0.9997490799598527,0.9819699363883145,Tissue enriched,Detected in single
ENSG00000189375,0.9994736842105262,0.978582202111614,Tissue enriched,Detected in single
ENSG00000124678,0.999462892905516,0.9801557285873195,Tissue enriched,Detected in some
ENSG00000282419,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000147081,0.9997521921463972,0.9833906071019476,Tissue enriched,Detected in some
ENSG00000204006,0.9997244799559168,0.9832044788056522,Tissue enriched,Detected in single
ENSG00000077800,0.9992051664182813,0.9792093977251535,Tissue enriched,Detected in single
ENSG00000276950,0.9997321428571428,0.9819376026272575,Tissue enriched,Detected in single
ENSG00000218823,0.9991058122205664,0.9773822766036337,Tissue enriched,Detected in single
ENSG00000166351,0.9997590361445784,0.9799253034547153,Tissue enriched,Detected in single
ENSG00000196335,0.9980971896955495,0.9233806451612905,Tissue enriched,Detected in single
ENSG00000155087,0.9995304493395669,0.9825431539482932,Tissue enriched,Detected in some
ENSG00000198062,0.9941052631578947,0.9714650087677346,Group enriched,Detected in some
ENSG00000131126,0.9908474772635109,0.9264135761831613,Group enriched,Detected in some
ENSG00000236446,0.9998130841121495,0.9800290486564995,Tissue enriched,Detected in single
ENSG00000155833,0.9992767598842816,0.9806905951840073,Tissue enriched,Detected in single
ENSG00000180483,0.9901684339987697,0.9702556108000406,Group enriched,Detected in some
ENSG00000205642,0.9986175115207374,0.9665314401622718,Tissue enriched,Detected in single
ENSG00000203942,0.9996361504719938,0.9827425191641699,Tissue enriched,Detected in some
ENSG00000161973,0.999137187230371,0.9791858678955456,Tissue enriched,Detected in some
ENSG00000180219,0.9997414283497958,0.9833700661190141,Tissue enriched,Detected in single
ENSG00000111305,0.9983753301748355,0.9661937735742836,Tissue enriched,Detected in some
ENSG00000181867,0.9994455159112826,0.9818060845225536,Tissue enriched,Detected in some
ENSG00000187475,0.9990885449863602,0.9705518921166758,Tissue enriched,Detected in some
ENSG00000157093,0.9993781797625777,0.9808702175543886,Tissue enriched,Detected in single
ENSG00000188050,0.9990731622545329,0.9783687560686156,Tissue enriched,Detected in single
ENSG00000106013,0.9986553993285896,0.9588353413654618,Tissue enriched,Detected in some
ENSG00000215115,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000215113,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000204025,0.9995822890559732,0.9812531328320804,Tissue enriched,Detected in single
ENSG00000162641,0.9986451700311612,0.9742674218172864,Tissue enriched,Detected in single
ENSG00000237671,0.999662447257384,0.9797412741030025,Tissue enriched,Detected in single
ENSG00000227488,0.999662447257384,0.9797412741030025,Tissue enriched,Detected in single
ENSG00000187166,0.9992226261517708,0.9789313173832739,Tissue enriched,Detected in some
ENSG00000268988,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000276040,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000241476,0.9995020746887967,0.979122013177741,Tissue enriched,Detected in single
ENSG00000206203,0.9988522877160524,0.9758064516129035,Tissue enriched,Detected in some
ENSG00000184033,0.9990000000000001,0.975412387177093,Tissue enriched,Detected in single
ENSG00000283594,0.9939217758985199,0.9678542178542175,Group enriched,Detected in some
ENSG00000205301,0.9994179842855757,0.981658986175115,Tissue enriched,Detected in single
ENSG00000277535,0.9995204986813714,0.975895316804408,Tissue enriched,Detected in single
ENSG00000165837,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000170950,0.9994395404231469,0.9816049053585709,Tissue enriched,Detected in some
ENSG00000131059,0.9996971188429941,0.9832492136639603,Tissue enriched,Detected in some
ENSG00000147183,0.9996694214876033,0.9797545034273876,Tissue enriched,Detected in single
ENSG00000120160,0.9966720078885744,0.8834005376344083,Tissue enriched,Detected in single
ENSG00000106328,0.9990232570417888,0.9767624276889892,Tissue enriched,Detected in some
ENSG00000166930,0.9995426722015057,0.9825914202976633,Tissue enriched,Detected in single
ENSG00000235631,0.9970914859862516,0.8903667697746354,Tissue enriched,Detected in single
ENSG00000177673,0.9997013340412823,0.9832937856730584,Tissue enriched,Detected in some
ENSG00000178021,0.9993618124526347,0.9803203142706052,Tissue enriched,Detected in single
ENSG00000188163,0.9972475954267747,0.9055445140906078,Tissue enriched,Detected in some
ENSG00000174016,0.9991011235955057,0.9761754164031204,Tissue enriched,Detected in single
ENSG00000278522,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000175809,0.9997037037037038,0.9798196650923146,Tissue enriched,Detected in single
ENSG00000268994,0.9989721187202877,0.9735449735449735,Tissue enriched,Detected in single
ENSG00000275113,0.9763650151668352,0.9147880421465333,Group enriched,Detected in some
ENSG00000284680,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000175018,0.9991336798613888,0.9798854153692862,Tissue enriched,Detected in single
ENSG00000154007,0.9996553930980161,0.9831119544592029,Tissue enriched,Detected in single
ENSG00000161180,0.9936669923642022,0.8021882062872405,Tissue enriched,Detected in single
ENSG00000224089,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000242362,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000236126,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000230594,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000237957,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000230347,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000226600,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000164334,0.9992467877713781,0.9802867383512543,Tissue enriched,Detected in single
ENSG00000172538,0.9888000000000001,0.9648064353946706,Group enriched,Detected in some
ENSG00000275722,0.9991932013769361,0.9792203852570907,Tissue enriched,Detected in single
ENSG00000198765,0.9993571198971392,0.9818421586528707,Tissue enriched,Detected in single
ENSG00000182583,0.9986278616306782,0.9718069761342774,Tissue enriched,Detected in single
ENSG00000182415,0.9873333333333334,0.965186074429772,Group enriched,Detected in some
ENSG00000225362,0.9986338797814208,0.9725138385188012,Tissue enriched,Detected in single
ENSG00000189186,0.9997189695550351,0.9833272924972813,Tissue enriched,Detected in single
ENSG00000144962,0.9996334799413569,0.9830372603091129,Tissue enriched,Detected in single
ENSG00000163806,0.9936988801909648,0.7816156475313722,Tissue enriched,Detected in some
ENSG00000007350,0.9919615165516805,0.9599281297008193,Group enriched,Detected in some
ENSG00000212122,0.9993979036098416,0.9811178640070644,Tissue enriched,Detected in some
ENSG00000213471,0.9973313000381246,0.947983870967742,Tissue enriched,Detected in single
ENSG00000212710,0.998983352395476,0.9789263009182951,Tissue enriched,Detected in single
ENSG00000170967,0.999599408356958,0.9829239419946731,Tissue enriched,Detected in some
ENSG00000173769,0.9995652173913044,0.9791405924071759,Tissue enriched,Detected in single
ENSG00000206043,0.9996231392500472,0.982964842334179,Tissue enriched,Detected in single
ENSG00000249139,0.9925506268081008,0.9476336475423202,Group enriched,Detected in some
ENSG00000229972,0.999240191563824,0.9804070145053045,Tissue enriched,Detected in some
ENSG00000206026,0.9997560975609756,0.9799196787148596,Tissue enriched,Detected in single
ENSG00000164299,0.9996640687987101,0.9832232154424148,Tissue enriched,Detected in single
ENSG00000172288,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000242875,0.9996923076923077,0.9797979797979801,Tissue enriched,Detected in single
ENSG00000006047,0.9963439084797738,0.9125237191650852,Tissue enriched,Detected in some
ENSG00000185689,0.9994654312188169,0.9823995472552349,Tissue enriched,Detected in single
ENSG00000145309,0.9993686456360352,0.9821384374226547,Tissue enriched,Detected in some
ENSG00000077935,0.9973603778827453,0.9534180990503096,Tissue enriched,Detected in single
ENSG00000205832,0.9943078324225861,0.8493847688726306,Tissue enriched,Detected in single
ENSG00000174898,0.9977508996401441,0.9631151085358471,Tissue enriched,Detected in single
ENSG00000176566,0.9996302230987305,0.9830407969639468,Tissue enriched,Detected in single
ENSG00000187775,0.9982940833818759,0.9696329254727474,Tissue enriched,Detected in single
ENSG00000187026,0.9772792637331029,0.7196394686907024,Group enriched,Detected in some
ENSG00000239395,0.9996308600959765,0.9765625000000002,Tissue enriched,Detected in single
ENSG00000241690,0.9993908736989856,0.9817103808662446,Tissue enriched,Detected in some
ENSG00000189132,0.9996512033484479,0.9831989247311834,Tissue enriched,Detected in single
ENSG00000189023,0.9995555555555555,0.9795396419437341,Tissue enriched,Detected in single
ENSG00000162039,0.995543530160751,0.907350406303866,Tissue enriched,Detected in single
ENSG00000172967,0.9915555555555556,0.9630310457516342,Group enriched,Detected in some
ENSG00000165805,0.9996530488333767,0.9832024068193217,Tissue enriched,Detected in single
ENSG00000140932,0.9990672012066844,0.9795477219820419,Tissue enriched,Detected in some
ENSG00000236371,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000184345,0.9992648680438139,0.9816558216807423,Tissue enriched,Detected in single
ENSG00000283758,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000186118,0.9986413449192272,0.9757047125532434,Tissue enriched,Detected in some
ENSG00000117148,0.9987496526813004,0.9780289560579118,Tissue enriched,Detected in single
ENSG00000258713,0.9992525002577584,0.9804753820033956,Tissue enriched,Detected in some
ENSG00000175294,0.9876091121992763,0.9466978430998283,Group enriched,Detected in some
ENSG00000255359,0.9993724998039062,0.9818641296268769,Tissue enriched,Detected in single
ENSG00000271449,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000198471,0.9887719298245614,0.9658515091429831,Group enriched,Detected in some
ENSG00000173699,0.9989404238304678,0.9784761482466839,Tissue enriched,Detected in some
ENSG00000073598,0.9990571846378822,0.9799326912749275,Tissue enriched,Detected in some
ENSG00000124449,0.9993694829760403,0.9821731748726654,Tissue enriched,Detected in some
ENSG00000206105,0.9997058823529412,0.9798238135834045,Tissue enriched,Detected in single
ENSG00000124227,0.9991483925910157,0.9798884906411791,Tissue enriched,Detected in single
ENSG00000204296,0.9983950475753754,0.9727758372714197,Tissue enriched,Detected in single
ENSG00000271321,0.9986666666666666,0.9745098039215687,Tissue enriched,Detected in single
ENSG00000187791,0.9988454433497537,0.9757795297961502,Tissue enriched,Detected in single
ENSG00000227234,0.9994464551841602,0.9822499594747933,Tissue enriched,Detected in single
ENSG00000130377,0.9991262961855931,0.9795326661225892,Tissue enriched,Detected in some
ENSG00000185972,0.997706267287324,0.9259927797833933,Tissue enriched,Detected in some
ENSG00000142025,0.998835605944538,0.9771716489331757,Tissue enriched,Detected in some
ENSG00000163440,0.9994662600076251,0.9821272885789019,Tissue enriched,Detected in some
ENSG00000010318,0.9956988435925982,0.8566520618304077,Tissue enriched,Detected in some
ENSG00000230268,0.9995847176079735,0.9764752791068583,Tissue enriched,Detected in single
ENSG00000283205,0.9990208078335373,0.974517906336088,Tissue enriched,Detected in single
ENSG00000148513,0.9900191343021151,0.9697027197975965,Group enriched,Detected in some
ENSG00000177627,0.9958545317505176,0.8781444214264575,Tissue enriched,Detected in single
ENSG00000196553,0.9992219109866168,0.9803318316668497,Tissue enriched,Detected in some
ENSG00000275520,0.9976824102932951,0.9642045454545458,Tissue enriched,Detected in single
ENSG00000197309,1.0,0.9803921568627452,Tissue enriched,Detected in single
ENSG00000106304,0.9989963198394113,0.9801488833746896,Tissue enriched,Detected in single
ENSG00000235699,0.9995632763975155,0.9816185024896462,Tissue enriched,Detected in single
ENSG00000205777,0.9978804347826088,0.96969696969697,Tissue enriched,Detected in some
ENSG00000166796,0.9971861151300426,0.9435388206482227,Tissue enriched,Detected in some
ENSG00000120440,0.9984242901730253,0.9727737583637057,Tissue enriched,Detected in some
ENSG00000278633,0.9987716999672454,0.972103982973548,Tissue enriched,Detected in single
ENSG00000140955,0.9968464890108573,0.918838391863976,Tissue enriched,Detected in some
ENSG00000181013,0.9943513231411558,0.8387546050858119,Tissue enriched,Detected in single
ENSG00000189037,0.9984534488091557,0.9764553207267339,Tissue enriched,Detected in single
ENSG00000214978,0.9651639344262297,0.928817204301075,Group enriched,Detected in some
ENSG00000184814,0.9995744680851064,0.9795751633986931,Tissue enriched,Detected in single
ENSG00000166220,0.9989134029385364,0.9791630340017436,Tissue enriched,Detected in single
ENSG00000230054,0.9987174427782162,0.9756737203834323,Tissue enriched,Detected in some
ENSG00000138892,0.999047619047619,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000118491,0.9988169680581377,0.9775641025641024,Tissue enriched,Detected in single
ENSG00000151360,0.9986377941660013,0.9767878477555896,Tissue enriched,Detected in single
ENSG00000105679,0.9952070918075198,0.8676579805612061,Tissue enriched,Detected in some
ENSG00000128322,0.9699526025133712,0.9344569288389515,Group enriched,Detected in some
ENSG00000267978,0.9985260399606943,0.9712522576760987,Tissue enriched,Detected in single
ENSG00000121101,0.9965782188073544,0.8936800526662279,Tissue enriched,Detected in some
ENSG00000188782,0.9991111111111112,0.9776109025170352,Tissue enriched,Detected in single
ENSG00000189064,0.9977730192719487,0.9675469417053912,Tissue enriched,Detected in some
ENSG00000215186,0.9822857142857143,0.9558328381857792,Group enriched,Detected in some
ENSG00000270379,0.9980223359702187,0.9668158666460871,Tissue enriched,Detected in single
ENSG00000214107,0.9994512655188971,0.9825649732271124,Tissue enriched,Detected in single
ENSG00000232030,1.0,0.9772727272727273,Tissue enriched,Detected in single
ENSG00000237452,0.9990790200773624,0.9806108442004116,Tissue enriched,Detected in single
ENSG00000236980,0.9990740740740741,0.9776158250910987,Tissue enriched,Detected in single
ENSG00000137225,0.9960367501351114,0.8949675788099993,Tissue enriched,Detected in some
ENSG00000255181,0.9984615384615384,0.9743230625583568,Tissue enriched,Detected in single
ENSG00000184735,0.9987170349251605,0.9789281997918833,Tissue enriched,Detected in single
ENSG00000226650,0.9995555555555555,0.9795396419437341,Tissue enriched,Detected in single
ENSG00000238205,0.999247400109469,0.9801341589267285,Tissue enriched,Detected in single
ENSG00000231989,0.9951388888888887,0.9109017084195203,Tissue enriched,Detected in some
ENSG00000229937,0.998078893442623,0.9723663433340852,Tissue enriched,Detected in some
ENSG00000101251,0.9982050975230348,0.9705008488964348,Tissue enriched,Detected in single
