,tau-brain,gini-brain,RNA tissue specificity,RNA tissue distribution
ENSG00000179292,0.894405948960622,0.7104416378408815,Tissue enriched,Detected in many
ENSG00000284299,0.9503246753246752,0.6444556905083221,Tissue enriched,Detected in some
ENSG00000164929,0.9223710350979148,0.7045050935006283,Tissue enriched,Detected in many
ENSG00000205899,0.9659836065573771,0.8905061631261477,Tissue enriched,Detected in single
ENSG00000166862,0.9467613606023385,0.6818226795962796,Tissue enriched,Detected in some
ENSG00000144550,0.9555384669160055,0.7329213837060644,Tissue enriched,Detected in some
ENSG00000106976,0.9455025480444532,0.6908606806993625,Tissue enriched,Detected in many
ENSG00000136541,0.8953093551707716,0.7626938615125805,Tissue enriched,Detected in many
ENSG00000150625,0.9607332077181141,0.761237814761546,Tissue enriched,Detected in many
ENSG00000174948,0.973142657830485,0.8121227887617064,Group enriched,Detected in some
ENSG00000180929,0.8843652621595991,0.7097187970671475,Tissue enriched,Detected in many
ENSG00000152208,0.9432954091090834,0.7510707239216572,Group enriched,Detected in some
ENSG00000165478,0.8904907897737345,0.6908282967300492,Group enriched,Detected in many
ENSG00000213398,0.9681592991856429,0.6222137692236596,Group enriched,Detected in many
ENSG00000112139,0.9768899198504342,0.6440869638969777,Tissue enriched,Detected in many
ENSG00000139915,0.9553488372093024,0.8908167583580193,Group enriched,Detected in some
ENSG00000183395,0.9938393232450606,0.9121780299472071,Tissue enriched,Detected in some
ENSG00000126583,0.9300239823910114,0.7717211254125818,Tissue enriched,Detected in many
ENSG00000152214,0.9671544620076833,0.7796019135814327,Tissue enriched,Detected in some
ENSG00000105251,0.9319423745653255,0.7247763621577663,Group enriched,Detected in some
ENSG00000079215,0.9381812492394349,0.6884863302956208,Tissue enriched,Detected in many
ENSG00000067715,0.9562571583928182,0.7501582494507812,Tissue enriched,Detected in many
ENSG00000151952,0.949635701275045,0.6466795757602428,Tissue enriched,Detected in some
ENSG00000105696,0.9522567237434092,0.7376989024919105,Tissue enriched,Detected in many
ENSG00000072315,0.9656603773584906,0.9038671023965139,Group enriched,Detected in some
ENSG00000118271,0.9728044496487118,0.9300064270600894,Group enriched,Detected in some
ENSG00000103310,0.99320044709389,0.9337349397590358,Tissue enriched,Detected in some
ENSG00000121753,0.9311790668348046,0.6337462556538129,Tissue enriched,Detected in many
ENSG00000231824,0.9768161362905818,0.8437039462911413,Group enriched,Detected in some
ENSG00000197991,0.9843478260869566,0.9603060736489719,Group enriched,Detected in some
ENSG00000109956,0.9091026747195861,0.7114090042414098,Tissue enriched,Detected in many
ENSG00000198797,0.9532875022034203,0.7772571634528742,Group enriched,Detected in some
ENSG00000174672,0.9472206041441291,0.7033761823914624,Group enriched,Detected in many
ENSG00000169085,0.9237086596695943,0.708645558584309,Tissue enriched,Detected in many
ENSG00000157782,0.9617305395722507,0.7411826889194988,Tissue enriched,Detected in many
ENSG00000141837,0.9686230770849554,0.6819667471934066,Tissue enriched,Detected in many
ENSG00000142408,0.9415444348576357,0.7577236528152214,Group enriched,Detected in some
ENSG00000164326,0.9508035050279687,0.8171102117407594,Group enriched,Detected in many
ENSG00000184524,0.9178403755868544,0.699607008351073,Tissue enriched,Detected in many
ENSG00000114646,0.9557316407592329,0.7374799797916822,Tissue enriched,Detected in many
ENSG00000274588,0.9911513859275054,0.9533914626886577,Group enriched,Detected in some
ENSG00000142700,0.9265188042430085,0.7218607226914022,Group enriched,Detected in some
ENSG00000169933,0.9454903550947111,0.7055397427788324,Group enriched,Detected in some
ENSG00000164900,0.9784712620975707,0.9374159946236558,Group enriched,Detected in some
ENSG00000145888,0.9796762682939438,0.8639709223080421,Tissue enriched,Detected in some
ENSG00000162188,0.9382905695701227,0.7409788448956123,Tissue enriched,Detected in many
ENSG00000154478,0.9730232558139537,0.8984663172199572,Tissue enriched,Detected in single
ENSG00000169306,0.8657825259409345,0.6689701879199927,Tissue enriched,Detected in many
ENSG00000154118,0.9199243379571248,0.7013493569470801,Tissue enriched,Detected in many
ENSG00000084731,0.9264431401650588,0.6016048387096773,Tissue enriched,Detected in many
ENSG00000140506,0.9623491262835525,0.8966666666666667,Group enriched,Detected in some
ENSG00000186732,0.9452061599602589,0.7377372082029576,Group enriched,Detected in some
ENSG00000100285,0.9539853024307514,0.7982483052828424,Group enriched,Detected in many
ENSG00000171540,0.9960493827160494,0.9688700222356983,Tissue enriched,Detected in some
ENSG00000101405,0.9951808931599773,0.9416947841224135,Tissue enriched,Detected in some
ENSG00000243232,0.9616861826697892,0.6859257622624837,Group enriched,Detected in many
ENSG00000143847,0.9568712459919613,0.7084047187821234,Group enriched,Detected in many
ENSG00000181240,0.9717290442313636,0.7476543651148246,Group enriched,Detected in some
ENSG00000178235,0.9214614807671694,0.6816791669700721,Tissue enriched,Detected in many
ENSG00000139767,0.9657348010876167,0.7337911210475885,Tissue enriched,Detected in many
ENSG00000132718,0.9184086311530681,0.5877562012344244,Tissue enriched,Detected in many
ENSG00000148704,0.9593171905549703,0.7165412894725658,Tissue enriched,Detected in some
ENSG00000174453,0.9128752993184752,0.7008954195844335,Group enriched,Detected in some
ENSG00000260903,0.961241217798595,0.7342990206150264,Group enriched,Detected in some
ENSG00000107331,0.8694358555510178,0.6364682178881365,Tissue enriched,Detected in many
ENSG00000075340,0.9232933692194762,0.6756178203552203,Group enriched,Detected in many
ENSG00000178522,0.981132075471698,0.8849745331069605,Tissue enriched,Detected in some
ENSG00000178171,0.9552856598224493,0.6815306767868439,Tissue enriched,Detected in some
ENSG00000112309,0.8625241080038575,0.636322858622999,Tissue enriched,Detected in many
ENSG00000130643,0.917104543420246,0.7373094943184879,Group enriched,Detected in many
ENSG00000145526,0.9799514729212676,0.7800930706428209,Tissue enriched,Detected in some
ENSG00000152093,0.9674653215636818,0.7815929497838379,Group enriched,Detected in some
ENSG00000120903,0.9641791044776123,0.7219366931704811,Group enriched,Detected in some
ENSG00000164007,0.9503322995126274,0.8277298197788887,Group enriched,Detected in many
ENSG00000150656,0.8712992414974309,0.7536824481556026,Group enriched,Detected in many
ENSG00000184144,0.884034666388222,0.7554586264110996,Tissue enriched,Detected in many
ENSG00000241563,0.9393784153005463,0.6974107717616769,Tissue enriched,Detected in many
ENSG00000123977,0.9684615131903147,0.8196621636560613,Group enriched,Detected in some
ENSG00000123454,0.9820732215197063,0.925706812803587,Group enriched,Detected in some
ENSG00000140323,0.9344262295081969,0.6264828303850158,Tissue enriched,Detected in many
ENSG00000171617,0.9412414809357159,0.6423742884250474,Tissue enriched,Detected in many
ENSG00000182103,0.8519051838723968,0.627164114260889,Tissue enriched,Detected in many
ENSG00000168843,0.9823030563265805,0.825671498846372,Tissue enriched,Detected in some
ENSG00000163285,0.8780364604858336,0.6960001284755306,Tissue enriched,Detected in many
ENSG00000127588,0.9827931422850709,0.8483110069882465,Group enriched,Detected in some
ENSG00000168959,0.9533053204710893,0.711008896689463,Tissue enriched,Detected in some
ENSG00000158748,0.9734772757563637,0.7051693047485472,Tissue enriched,Detected in some
ENSG00000105376,0.9347782359448857,0.7502335380517957,Tissue enriched,Detected in some
ENSG00000172458,0.9234723157921001,0.6704116281487131,Group enriched,Detected in many
ENSG00000184156,0.9281467074187268,0.6376858698301777,Tissue enriched,Detected in many
ENSG00000164794,0.9503073770491802,0.6653627692637449,Tissue enriched,Detected in some
ENSG00000184350,0.977828925736296,0.7534281560645948,Tissue enriched,Detected in many
ENSG00000196132,0.9774737586979598,0.7636950146627566,Tissue enriched,Detected in some
ENSG00000188580,0.894808743169399,0.701028955740808,Tissue enriched,Detected in many
ENSG00000179915,0.9389499389499385,0.6815422839943639,Tissue enriched,Detected in many
ENSG00000110076,0.928724864733909,0.6574987519908715,Tissue enriched,Detected in many
ENSG00000118733,0.9249180327868854,0.7169807684896132,Tissue enriched,Detected in some
ENSG00000136099,0.9102339646665609,0.6550515065048121,Tissue enriched,Detected in some
ENSG00000240694,0.9379391100702575,0.6807447181805575,Tissue enriched,Detected in many
ENSG00000100276,0.9394560357675115,0.668319925017574,Tissue enriched,Detected in many
ENSG00000261678,0.9557453416149074,0.7147368421052631,Tissue enriched,Detected in some
ENSG00000100167,0.9518039240996519,0.734630478753838,Tissue enriched,Detected in many
ENSG00000187902,0.9111198893936406,0.7007908168411707,Tissue enriched,Detected in some
ENSG00000138083,0.9602859608036487,0.8194909008447189,Group enriched,Detected in some
ENSG00000164707,0.9668483894498405,0.8480771393933335,Group enriched,Detected in some
ENSG00000101438,0.9434148011813551,0.667741935483871,Tissue enriched,Detected in many
ENSG00000144290,0.915476636788112,0.7085825407719715,Group enriched,Detected in many
ENSG00000115665,0.9707026280396935,0.784753766007134,Tissue enriched,Detected in many
ENSG00000271824,0.9682388222464557,0.9037497590129171,Group enriched,Detected in some
ENSG00000122012,0.9632560768795929,0.7383321894303363,Tissue enriched,Detected in many
ENSG00000213023,0.9122070180192384,0.639141742522757,Tissue enriched,Detected in many
ENSG00000178233,0.9385716977576788,0.7311046890051811,Tissue enriched,Detected in many
ENSG00000171368,0.8980645161290323,0.665747863494297,Tissue enriched,Detected in many
ENSG00000100505,0.9189924030387846,0.6604428200646215,Tissue enriched,Detected in many
ENSG00000165623,0.932839767318879,0.8793385055124543,Group enriched,Detected in some
ENSG00000163032,0.944784669113646,0.7761277843638859,Tissue enriched,Detected in many
ENSG00000140873,0.9428028161776039,0.7454946837267975,Group enriched,Detected in some
ENSG00000173157,0.9450337512053997,0.8161871548968322,Group enriched,Detected in some
ENSG00000110881,0.9070413024721462,0.6181098876777509,Tissue enriched,Detected in many
ENSG00000186318,0.9405826744410863,0.5501710326910585,Group enriched,Detected in all
ENSG00000129910,0.9820025555283691,0.9234604105571849,Group enriched,Detected in some
ENSG00000168539,0.9234657721925641,0.7759401085655249,Group enriched,Detected in some
ENSG00000160716,0.9158970214731008,0.648542735913731,Tissue enriched,Detected in many
ENSG00000197992,0.9219951829694667,0.6714854639585821,Group enriched,Detected in some
ENSG00000174871,0.9392232368797447,0.7309298453783679,Tissue enriched,Detected in many
ENSG00000165023,0.9421083021615242,0.7228411952599505,Tissue enriched,Detected in many
ENSG00000050165,0.9538955097181036,0.6458071344436924,Group enriched,Detected in all
ENSG00000116675,0.9196111489758584,0.6715428393792293,Tissue enriched,Detected in many
ENSG00000149295,0.9529634300126101,0.8147566215609567,Group enriched,Detected in many
ENSG00000165606,0.9659157919565987,0.8692342478142898,Group enriched,Detected in some
ENSG00000130957,0.9849087833315084,0.9198411411898202,Group enriched,Detected in many
ENSG00000183090,0.9779999999999999,0.9064425770308127,Group enriched,Detected in some
ENSG00000145864,0.9430437270676948,0.7387007949784601,Tissue enriched,Detected in many
ENSG00000168505,0.9407631905221109,0.7946119043422064,Tissue enriched,Detected in some
ENSG00000261949,0.981,0.9492207139265965,Group enriched,Detected in some
ENSG00000169840,0.95705379819903,0.7822894439563197,Tissue enriched,Detected in single
ENSG00000140287,0.9688819083145183,0.7922953878965608,Group enriched,Detected in many
ENSG00000116983,0.9378925046896669,0.7429241726015918,Tissue enriched,Detected in many
ENSG00000143473,0.9160850511280637,0.6185927549848624,Tissue enriched,Detected in many
ENSG00000169427,0.9549712582499471,0.8088276401856098,Group enriched,Detected in some
ENSG00000150361,0.9173807749627425,0.7699602464115562,Tissue enriched,Detected in some
ENSG00000187416,0.9545474960700652,0.6810387237332209,Tissue enriched,Detected in some
ENSG00000078018,0.9114646864067131,0.6860731534442117,Tissue enriched,Detected in many
ENSG00000171246,0.9492731209403035,0.7782015071297066,Tissue enriched,Detected in many
ENSG00000198400,0.9502106278231743,0.7527706313081342,Group enriched,Detected in many
ENSG00000182447,0.9881081081081081,0.9325357261548688,Tissue enriched,Detected in single
ENSG00000242419,0.9203250903028617,0.6627831035850069,Tissue enriched,Detected in many
ENSG00000111218,0.9387228979375994,0.6973644474948528,Tissue enriched,Detected in some
ENSG00000139970,0.9343355327301993,0.7140851598641575,Tissue enriched,Detected in many
ENSG00000136531,0.9368611378977822,0.7395740644770163,Tissue enriched,Detected in many
ENSG00000140600,0.8373106453621081,0.6845961200613013,Group enriched,Detected in many
ENSG00000110436,0.9531426708371966,0.765625,Tissue enriched,Detected in many
ENSG00000182902,0.874327868852459,0.7022736240256697,Group enriched,Detected in many
ENSG00000196376,0.9275793262647214,0.5966036663350858,Tissue enriched,Detected in many
ENSG00000065609,0.9351868532196397,0.7103254430812533,Tissue enriched,Detected in many
ENSG00000147488,0.8754372727896287,0.7551055647123459,Tissue enriched,Detected in many
ENSG00000163630,0.9634060289797989,0.782390433470864,Tissue enriched,Detected in many
ENSG00000102003,0.9505726727166277,0.7273308076845479,Tissue enriched,Detected in many
ENSG00000006128,0.9299955693398316,0.783160609156814,Group enriched,Detected in many
ENSG00000133863,0.9638266759024086,0.8282010107212019,Group enriched,Detected in some
ENSG00000205457,0.9148837209302321,0.7208051362137775,Group enriched,Detected in some
ENSG00000083067,0.9629121735336289,0.7532709226257615,Group enriched,Detected in many
ENSG00000275038,0.9879201680672268,0.9596799015081563,Tissue enriched,Detected in single
ENSG00000183760,0.9004529767040556,0.7032408102025509,Group enriched,Detected in some
ENSG00000073670,0.9492694647909159,0.7184496759293753,Group enriched,Detected in many
ENSG00000078295,0.9224248867006097,0.6076549280219725,Group enriched,Detected in many
ENSG00000181790,0.9021778150053849,0.629099849608814,Tissue enriched,Detected in many
ENSG00000128271,0.9188941372603503,0.63939271366716,Group enriched,Detected in many
ENSG00000154027,0.9354905158355505,0.7004202514664308,Tissue enriched,Detected in many
ENSG00000167654,0.9406000795117049,0.669332444187875,Tissue enriched,Detected in many
ENSG00000157087,0.9220493290886913,0.738298694825078,Group enriched,Detected in many
ENSG00000067842,0.8986009044657997,0.6728815527217136,Group enriched,Detected in some
ENSG00000198216,0.9238875878220142,0.7194958981402426,Tissue enriched,Detected in some
ENSG00000102924,0.9833143665610682,0.8151122508660638,Tissue enriched,Detected in many
ENSG00000205212,0.9200350394193473,0.6447423544197737,Group enriched,Detected in some
ENSG00000166091,0.9107982364260829,0.7195631952970942,Group enriched,Detected in many
ENSG00000146910,0.9796441612928295,0.8062129168655803,Group enriched,Detected in some
ENSG00000101203,0.931466302367942,0.6688431491250828,Tissue enriched,Detected in some
ENSG00000120088,0.9253109101187114,0.6774318676643558,Group enriched,Detected in many
ENSG00000036530,0.9309276289484205,0.6732880588568195,Tissue enriched,Detected in many
ENSG00000090932,0.9578880136257191,0.7114147532516315,Tissue enriched,Detected in some
ENSG00000175766,0.9255848222508753,0.7111496433946216,Group enriched,Detected in some
ENSG00000107105,0.9127854377012995,0.6941230155600373,Group enriched,Detected in many
ENSG00000166897,0.9180874316939892,0.699053237461672,Tissue enriched,Detected in many
ENSG00000110675,0.9097558628212123,0.6735472225457086,Group enriched,Detected in many
ENSG00000235118,0.9821705426356587,0.945540308747856,Group enriched,Detected in some
ENSG00000153266,0.9424739195230999,0.7538046305931319,Tissue enriched,Detected in some
ENSG00000172568,0.9177595628415304,0.7223215083549279,Group enriched,Detected in some
ENSG00000182870,0.9530096358403201,0.7256153870649305,Tissue enriched,Detected in many
ENSG00000197487,0.9578986587183307,0.8866858434353808,Group enriched,Detected in some
ENSG00000124194,0.9357750570657816,0.678823985275598,Tissue enriched,Detected in many
ENSG00000198835,0.8829039812646371,0.6862952311654715,Tissue enriched,Detected in many
ENSG00000046653,0.9295642107621641,0.7182566327974562,Tissue enriched,Detected in many
ENSG00000173250,0.9535714285714287,0.8922622812565886,Group enriched,Detected in some
ENSG00000120251,0.9434520248209373,0.7331546678560898,Tissue enriched,Detected in many
ENSG00000152578,0.920015387346866,0.7096625630156388,Tissue enriched,Detected in many
ENSG00000161509,0.9568356143781023,0.7586143695014662,Group enriched,Detected in some
